Row,id10994,id10995,id10996,id10997,id10998,id10999,id11003,id11005,id11006,id11544,id11547,id11548,id11549,id11552,id11942,id11943,id11944,id11945,id11947,id11949,id11951,id12119,id12655,id13161,id13186,id13312,id13313,id13527,id13528,id13835,id13948,id13950,id13952,id13964,id14651,id14652,id14653,id14654,id14655,id14656,id14657,id14658,id14659,id14660,id14661,id14662,id16042,id16276,id16311,id16966,id16967,id16968,id16969,id16970,id16971,id16972,id16973,id16974,id16975,id16976,id16977,id16978,id16979,id16980,id16981,id16982,id16984,id16985,id16986,id16987,id16988,id16989,id16990,id16991,id16992,id16993,id17718,id17872,id17944,id2378,id524,id551,id589,id592,id612,id614,id621,id634,id636,id849,id854,id857,id859,id861,id864,id866,id869,id870
id14656,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,3,NaN,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,NaN,3,NaN,3,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN
id14657,NaN,NaN,1,NaN,3,NaN,1,NaN,NaN,NaN,NaN,NaN,3,3,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,3,3,1,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,3,4,NaN,1,NaN,4,NaN,8,1,NaN,4,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,NaN,3,NaN,1,4,NaN,4,NaN,NaN,NaN,4,NaN,3,4,2,NaN,NaN,2,NaN,2,1,1,NaN,2,NaN,3,NaN,NaN,1,NaN,NaN,NaN,NaN,3,4,NaN,4,3,NaN,NaN
id14658,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN,1,NaN,1,2,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,1,1,NaN,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,NaN,NaN,NaN
id14659,2,NaN,NaN,NaN,2,2,1,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,2,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,2,2,NaN,NaN,NaN,2,NaN,2,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,2,NaN
id14660,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,1,1,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,1,NaN,NaN,4,NaN,4,1,NaN,5,1,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,4,1,NaN,NaN,NaN,NaN,4,NaN,NaN,4,2,1,NaN,NaN,NaN,2,1,NaN,NaN,2,NaN,2,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,4,NaN,4,NaN,NaN,NaN
id14661,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,1,1,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id14662,NaN,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,3,NaN,NaN,NaN,3,1,NaN,3,NaN,NaN,3,3,NaN,NaN,NaN,NaN,NaN,NaN,4,2,3,NaN,NaN,3,NaN,NaN,3,NaN,NaN,1,1,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,NaN,1,NaN,NaN,4,NaN,NaN,NaN,1,NaN,NaN,1,NaN,NaN,NaN,NaN,3,NaN,NaN,3,NaN,4,4,NaN,NaN,NaN,NaN,3,NaN,1
id16042,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,2,1,NaN,1,NaN,NaN,2,2,NaN,NaN,NaN,NaN,NaN,NaN,2,2,2,NaN,NaN,2,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,1,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,2,NaN,2,2,NaN,NaN,NaN,NaN,2,NaN,NaN
id16276,NaN,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,3,1,NaN,2,NaN,NaN,3,3,NaN,NaN,NaN,NaN,NaN,NaN,3,2,3,NaN,NaN,3,NaN,NaN,3,NaN,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,NaN,1,NaN,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,NaN,3,NaN,3,3,NaN,NaN,NaN,NaN,3,NaN,NaN
id16311,NaN,NaN,NaN,NaN,3,NaN,NaN,1,NaN,NaN,NaN,NaN,3,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,3,2,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,NaN,NaN,NaN,NaN,2,2,NaN,3,2,2,5,NaN,NaN,NaN,NaN,3,2,2,2,NaN,NaN,3,NaN,1,NaN,NaN,2,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,3,NaN,NaN
id16966,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,1,1,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id16967,NaN,1,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,1,3,NaN,NaN,NaN,3,2,NaN,2,NaN,NaN,3,3,NaN,NaN,NaN,NaN,NaN,NaN,3,2,3,NaN,NaN,4,1,NaN,3,NaN,1,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,NaN,1,3,NaN,NaN,1,NaN,NaN,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,NaN,3,NaN,3,3,NaN,NaN,NaN,NaN,3,NaN,NaN
id16968,NaN,1,1,1,NaN,1,NaN,NaN,NaN,1,1,NaN,NaN,NaN,1,1,1,NaN,NaN,NaN,2,2,NaN,NaN,NaN,NaN,1,NaN,1,1,1,NaN,1,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,4,NaN,1,NaN,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN,2,NaN,NaN,2,1,NaN,2,1,NaN,1,1,NaN,1,NaN,2,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN
id16969,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,3,3,2,NaN,NaN,2,NaN,3,2,2,1,NaN,NaN,3,1,NaN,NaN,NaN,NaN,3,NaN,3,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,NaN,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,1,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,3,2,2,2,NaN,NaN,NaN
id16970,NaN,NaN,1,1,NaN,3,NaN,1,NaN,NaN,1,NaN,NaN,NaN,NaN,1,4,NaN,NaN,NaN,1,1,NaN,NaN,2,NaN,NaN,3,NaN,2,NaN,3,1,NaN,2,1,NaN,3,3,NaN,NaN,NaN,NaN,NaN,NaN,3,2,3,2,NaN,3,1,NaN,6,2,NaN,NaN,2,3,5,NaN,NaN,NaN,NaN,1,2,5,2,1,1,NaN,1,4,NaN,1,1,NaN,1,NaN,NaN,NaN,NaN,1,NaN,3,NaN,NaN,3,1,3,3,NaN,NaN,NaN,1,3,NaN,NaN
id16971,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,1,NaN,NaN,1,1,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,2,NaN,1,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN,NaN,2,1,NaN,NaN,NaN,2,3,1,NaN,2,2,2,NaN,NaN,NaN,1,NaN,2,2,2,NaN,NaN,NaN,NaN,1,1,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id16972,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,1,1,NaN,NaN,NaN,NaN,1,NaN,1,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN,NaN,NaN,1,1,1,NaN,NaN,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id16973,2,NaN,NaN,NaN,5,2,1,NaN,NaN,NaN,NaN,NaN,5,2,1,NaN,NaN,NaN,NaN,NaN,1,NaN,3,4,NaN,NaN,NaN,NaN,NaN,NaN,2,2,NaN,3,1,NaN,2,NaN,NaN,NaN,3,NaN,2,NaN,NaN,1,NaN,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,1,NaN,3,2,2,NaN,NaN,3,2,NaN,2,NaN,NaN,3,1,1,NaN,NaN,2,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,1,1,5,NaN,NaN,NaN,3,2,1
id16974,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,2,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,2,NaN,NaN,NaN,NaN,2,2,NaN,1,3,2,2,NaN,NaN,NaN,NaN,NaN,2,2,2,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,1,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,1
id16975,NaN,NaN,1,1,NaN,NaN,NaN,1,NaN,NaN,1,NaN,NaN,NaN,NaN,1,1,3,3,NaN,1,1,NaN,NaN,5,NaN,NaN,NaN,NaN,2,3,NaN,NaN,NaN,NaN,1,3,NaN,3,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,1,3,3,2,NaN,NaN,2,6,2,NaN,NaN,NaN,NaN,1,2,5,2,1,NaN,NaN,1,1,NaN,3,1,NaN,1,NaN,NaN,NaN,1,1,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,3,NaN,NaN,1,NaN,NaN,NaN
id16976,NaN,NaN,NaN,NaN,3,3,NaN,1,NaN,NaN,NaN,NaN,3,2,NaN,NaN,3,NaN,NaN,NaN,NaN,NaN,3,3,2,NaN,NaN,3,NaN,2,NaN,3,1,3,2,NaN,NaN,3,3,NaN,3,NaN,NaN,NaN,NaN,3,2,3,5,NaN,3,NaN,NaN,5,2,NaN,3,2,2,8,NaN,NaN,NaN,NaN,3,2,5,2,NaN,1,3,NaN,4,NaN,NaN,2,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,NaN,3,NaN,3,3,3,NaN,NaN,NaN,6,NaN,NaN
id16977,2,NaN,NaN,NaN,2,2,1,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,2,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,2,2,NaN,NaN,NaN,2,NaN,2,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,2,NaN
id16978,2,NaN,1,NaN,2,2,2,NaN,NaN,NaN,NaN,NaN,2,1,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN,NaN,1,NaN,NaN,NaN,1,NaN,2,2,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,1,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,2,3,NaN,NaN,1,2,NaN,2,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,1,NaN,NaN,2,1,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,2,NaN
